Date,Name,Nationality,Cause of death
4/20/2012,Ramesh Gulve,India,Stroke
4/19/2012,Karsang Namgyal Sherpa,Nepal,Altitude sickness
4/5/2012,Dawa Tenzing,Nepal,Stroke (CVA)
9/15/2011,Hiroaki Kino,Japan,Cerebral apoplexy
5/21/2011,John Delaney,Ireland,Altitude sickness
5/12/2011,Takashi Ozaki,Japan,Altitude sickness
5/9/2011,Shailendra Kumar Upadhyaya,Nepal,Altitude sickness
5/1/2011,Rick Hitch,United States,Heart attack
5/26/2010,Peter Kinloch,United Kingdom,Exhaustion
5/19/2010,Tom Jørgensen,Denmark,HACE
4/26/2010,László Várkonyi,Hungary,Avalanche crevasse fall
5/21/2009,Frank Ziebarth,Canada,Hypothermia and lack of oxygen
5/19/2009,Wenhong Wu,China,Altitude sickness
5/18/2009,Věslav Chrzaszcz,Czech,Heart attack
5/7/2009,Lhakpa Nuru,Nepal,Avalanche
5/21/2008,Uwe Gianni Goltz,Switzerland,Exhaustion
5/17/2007,Lee Hyun-jo,South Korea,Unknown
5/17/2007,Oh Hee-joon,South Korea,Unknown
5/17/2007,Maurizio Pierangelo,Italy,Unknown
5/16/2007,Yoshitomi Okura,Japan,Unknown
5/17/2007,Libor Kozak,Czech,Unknown
5/17/2007,Shinichi Ishii,Japan,Unknown
4/26/2007,Dawa Sherpa,Nepal,Unknown
5/25/2006,Thomas Weber,Germany,Altitude sickness
5/22/2006,Igor Plyushkin,Russia,Altitude sickness
5/19/2006,Vitor Negrete,Brazil,Exposure and/or exhaustion
5/16/2006,Tomas Olsson,Sweden,Fall
5/15/2006,David Sharp,United Kingdom,Exposure and/or exhaustion
5/14/2006,Srikrishna,India,Fall
5/6/2006,Jacques-Hugues Letrange,France,Exhaustion
4/21/2006,Dawa Temba,Nepal,Avalanche
4/21/2006,Lhakpa Tseri,Nepal,Avalanche
4/21/2006,Ang Phinjo Sherpa,Nepal,Avalanche
4/7/2006,Tuk Bahadur Thapa Magar Sherpa,Nepal,Altitude
6/5/2005,Robert William Milne,United Kingdom,Organ failure due to freezing conditions
6/4/2005,Dieter Kramer,Germany,Exposure
5/30/2005,Sirigereshiva Shankarappa Chaitanya,India,Exposure
5/21/2005,Marko Lihteneker,Slovenia,Oxygen problems
5/2/2005,Michael Corey O'Brien[118],United States,Fall into a crevasse
4/28/2005,Sean Egan,Canada,Heart attack
5/23/2004,Mariana Prodanova Maslarova,Bulgaria,Exposure
5/20/2004,Shoko Ota,Japan,Exposure
5/20/2004,Hristo Ganchev Hristov,Bulgaria,Exposure
5/18/2004,Nils Antezana,United States Bolivia,Exposure
5/18/2004,Mu-taek Park,South Korea,Exposure
5/18/2004,Min Jang,South Korea,Exposure
5/18/2004,Joon-ho Baek,South Korea,Exposure
5/24/2003,Karma Gyalzen Sherpa,Nepal,Altitude sickness
5/8/2003,Arnaud Saulnier,France,Sickness in tent
5/25/2003,Jan Krzysztof Liszewski,Poland,Fall
5/27/2003,Bhim Bahadur Gurung,Nepal,Fall into a crevasse
9/8/2002,Marco Siffredi,France,Snowboarding accident
5/19/2002,Zoran Miletić,FR Yugoslavia,Exact cause and date of death unknown
4/30/2002,Peter Legate,United Kingdom,Fall into a crevasse
10/17/2001,Sándor Gárdos,Hungary,Fall
5/24/2001,Aleksei Nikiforov,Russia,"Pre-existing illness exacerbated by freezing conditions, altitude"
5/24/2001,Mark Auricht,Australia,Cerebral oedema
5/23/2001,Peter Ganner,Austria,Fall
4/29/2001,Babu Chiri Sherpa,Nepal,Fall
5/21/2000,Yan Genghua,China,"Disappeared after reaching the north summit; body found on May 27, 2000; likely accidental death during descent"
5/20/2000,Jeppe Stoltz,Denmark,Fall
5/18/1999,Pascal Debrouwer,Belgium,Fall
5/18/1999,Tadeusz Kudelski,Poland,Fall
5/13/1999,Michael Matthews,United Kingdom,Unknown
5/8/1999,Vasyl Kopytko,Ukraine,Unknown cause
7/24/1998,Shahid Abdul Khader,India,Died due to fall
5/26/1998,Roger Buick,New Zealand,Exhaustion
5/25/1998,Mark Jennings,United Kingdom,Exhaustion
5/24/1998,Francys Arsentiev,United States,Exposure and/or cerebral oedema
5/24/1998,Sergei Arsentiev,United States,100m fall
9/8/1997,Choi Byong-soo,South Korea,Avalanche
9/8/1997,Tenzing Nuru,Nepal,Disappearance (likely accidental death during climb)
5/8/1997,Peter Kowalzik,Germany,Disappearance (likely accidental death during climb)
5/7/1997,Mingma,Nepal,Fall
5/7/1997,Nikolai Shevtchenko,Russia,Exhaustion and/or exposure
5/7/1997,Ivan Plotnikov,Russia,Exhaustion and/or exposure
5/7/1997,Aleksandr Torochin,Russia,Fall
5/6/1997,Nima Rinzi,United Kingdom,Fall
4/23/1997,Malcolm Duff,United Kingdom,Heart attack (at Base camp)
9/25/1996,Dawa,Nepal,Avalanche
9/25/1996,Lopsang Jangbu,Nepal,Avalanche
9/25/1996,Yves Bouchon,France,Avalanche
6/6/1996,Ngawang Topche,Nepal,Lapsed into coma on 23 Apr 1996; later died in hospital
5/25/1996,Bruce Herrod,United Kingdom,Rope accident
5/19/1996,Reinhard Wlasich,Austria,Altitude sickness
5/11/1996,Tsewang Samanla,India,Exposure
5/11/1996,Tsewang Paljor,India,Exposure
5/11/1996,Dorje Morup,India,Exposure
5/11/1996,Yasuko Namba,Japan,Exposure
5/11/1996,Andrew Harris,New Zealand,Disappearance (likely accidental death during climb)
5/11/1996,Doug Hansen,United States,Exposure
5/11/1996,Rob Hall,New Zealand,Exposure
5/11/1996,Scott Fischer,United States,"Suspected HACE (high-altitude cerebral edema), exhaustion, frostbite and exposure."
5/9/1996,Chen Yu-Nan,Taiwan,Injuries from a fall
10/14/1995,Zangbu,Nepal,Fall
9/10/1995,Lhakpa Nuru,Nepal,Unknown
5/6/1995,Kami Rita,Nepal,Fall
9/12/1994,Mingma Norbu,Nepal,Avalanche
5/27/1994,Mike Rheinberger,Australia,"150m fall. He showed signs of exhaustion, dehydration, cerebral oedema, retinal hemorrhages and possible blood clots in his upper legs."
5/18/1994,Giuseppe Vigani,Italy,Fall
5/9/1994,Shih Fang-Fang 'Norman',Taiwan,Exhaustion and/or exposure
4/6/1994,Prem Thapa,Nepal,Cerebral oedema
10/7/1993,Antonio Miranda,Spain,Fall
10/5/1993,Karl Henize,United States,HAPE
5/17/1993,A Jin-seob,South Korea,Fall
5/16/1993,Nam Won-woo,South Korea,Fall
5/10/1993,Lobsang Tshering Bhutia,Nepal,Fall
4/23/1993,Sonam Tshering,Nepal,Disappearance (likely accidental death during climb)
4/23/1993,Pasang Lhamu Sherpa,Nepal,Disappearance (likely accidental death during climb)
